fecha,temp_max,temp_min,temp_prom
2026-09-21,16.1,10.9,13.5
2026-09-22,13.6,6.3,9.9
2026-09-23,16.1,7.7,11.9
2026-09-24,21.3,11.5,16.4
2026-09-25,25.1,14.9,20.0
2026-09-26,18.0,12.9,15.4
2026-09-27,15.7,12.9,14.3
2026-09-28,17.7,15.4,16.6
2026-09-29,18.0,13.1,15.6
2026-09-30,19.3,10.5,14.9
2026-10-01,21.4,13.8,17.6
2026-10-02,18.9,15.2,17.0
2026-10-03,16.8,12.5,14.7
2026-10-04,15.0,12.5,13.8
