tipo,texto
daily,Demanda total del sistema: 26.0 MMm3/dia (baja de 1.2 MMm3/d vs dia anterior).
weekly,Pronostico de temperatura para los proximos 7 dias: rango 9-21 C (promedio 15.3 C).
weekly,Demanda total estimada para la semana: 99-142 MMm3/dia.
weekly,Demanda prioritaria estimada: 17-66 MMm3/dia.
