fecha,temp_max,temp_min,temp_prom
2026-09-10,18.5,10.4,14.4
2026-09-11,16.9,11.5,14.2
2026-09-12,13.1,8.5,10.8
2026-09-13,11.9,5.3,8.6
2026-09-14,13.0,5.9,9.4
2026-09-15,15.9,9.0,12.4
2026-09-16,13.3,7.5,10.4
2026-09-17,18.8,10.4,14.6
2026-09-18,17.5,12.2,14.8
2026-09-19,17.5,11.6,14.6
2026-09-20,20.9,13.5,17.2
2026-09-21,20.4,13.3,16.9
2026-09-22,12.4,7.9,10.2
2026-09-23,11.7,6.3,9.0
