tipo,texto
daily,Demanda total del sistema: 26.0 MMm3/dia (baja de 1.2 MMm3/d vs dia anterior).
weekly,Pronostico de temperatura para los proximos 7 dias: rango 11-19 C (promedio 16.0 C).
weekly,Demanda total estimada para la semana: 100-139 MMm3/dia.
weekly,Demanda prioritaria estimada: 18-61 MMm3/dia.
